Titles,Authors,Dates,Tags,Url
「消失的檔案」：香港開放數據大檢討,Ren Xinya,2017-04-07,HongKong|OpenData,http://initiumlab.com/blog/20170407-open-data-hk/
數據新聞的精選 Feed 列表,Chia ni Liu,2017-04-01,DataJournalism|DataVisualisation|RSS|Feed,http://initiumlab.com/blog/20170401-data-news/
特朗普父女推特解密,"Li Yiming,Li Yuqiong",2017-03-29,Twitter|Trump|Ivanka,http://initiumlab.com/blog/20170329-trump-and-ivanka/
2017 香港開放數據黑客松成果紀錄,Chia ni Liu,2017-03-24,Hackathon|OpenData,http://initiumlab.com/blog/20170324-hk-odd/
編輯必備！4個助你挖掘價值訊息的選題工具,"Hu Pili, Ren Xinya",2017-03-15,NewsTool|Editor|TopicSelection,http://initiumlab.com/blog/20170315-news-tool/
哥大資料視覺化大師 Soma 在浸會大學的密技分享,Chia ni Liu,2017-03-12,Design|DataJournalism|JonathanSoma,http://initiumlab.com/blog/20170312-soma-post/
新出媒體知多少？,Ren Xinya,2017-02-22,newmedia,http://initiumlab.com/blog/20170222-new-media/
俗話說「好事不出門、壞事傳千里」，真的是這樣嗎？,Ren Xinya,2017-01-13,Interpersonalcloseness|Word-of-mouthvalence|Socialmedia,http://initiumlab.com/blog/20170113-Sharing-With-Friends-Versus-Strangers/
Facebook App Download Conversion,Initium Lab,2016-12-29,lang-English|DataAnalytics|GrowthHacking,http://initiumlab.com/blog/20161229-Facebook-App-Download-Conversion/
省電不差我一個嗎？台北市一級發布區用電量比較,Tianchung Lin,2016-09-08,powerusage|Taipei,http://initiumlab.com/blog/20160908-taipei-power-usage/
五張圖看懂：香港立法會選舉地區直選議席劃分是否合理？,黃浚煒,2016-09-03,香港立法會|議席分配,http://initiumlab.com/blog/20160903-legco-seats-analysis/
過去四年，立法會議員都討論了什麼？,Initium Lab,2016-09-01,香港立法會|PCA|議案分析,http://initiumlab.com/blog/20160901-legco-5-motion-analysis/
立法會選舉的世代之爭？數據指長者不一定投建制,Tom Tsang,2016-08-24,香港立法會|HongKong|Election,http://initiumlab.com/blog/20160824-Legco-voters-young-vs-old/
「題海戰術」佔領英倫課堂？——關於中式數學教育的幾個事實,Cheng Yixiang,2016-08-15,MathOlympics|Education,http://initiumlab.com/blog/20160815-math-olympics/
開放陸生赴台，五年來改變了什麼？,趙安平,2016-08-12,lang-Chinese|Taiwan|MainlandStudent,http://initiumlab.com/blog/20160812-tw-mainland-student/
2張圖看香港過去30年漲價最多是哪個商品,Andy Lin,2016-08-10,HongKong|consumerpriceindex|CPI,http://initiumlab.com/blog/20160810-hk-consumer-price/
數字看「開放陸生赴台就讀」的五年,趙安平,2016-08-08,lang-Chinese|Taiwan|MainlandStudent,http://initiumlab.com/blog/20160808-tw-mainland-student/
香港房價比台北貴多少？3張圖看兩座城市的居住條件,Andy Lin,2016-08-03,R|Economics|Housing,http://initiumlab.com/blog/20160803-hk-house-price/
一張地圖帶你「捕捉」香港年輕選民,Vincent Lau,2016-07-31,香港立法會|HongKong|Election,http://initiumlab.com/blog/20160731-legco-young-electors/
23萬投票紀錄 回顧第五屆香港立法會,Initium Lab,2016-07-30,香港立法會|投票分析|PCA,http://initiumlab.com/blog/20160730-Voting-Preference-Analysis-for-Hong-Kong-Legislative-Council-2012-2016/
Adopt MediaWiki as Our Internal Knowledge Management System,Chunliang Lyu,2016-07-30,Tech|lang-English|MediaWiki|KnowledgeManagement,http://initiumlab.com/blog/20160730-mediawiki-wiki-knowledge-management-system/
奧運冠軍的後奧運生活,沈書緣,2016-07-28,Olympics|state-runsportssystem|Chineseathletes,http://initiumlab.com/blog/20160728-chinese-olympics-champions/
香港房屋年齡地圖：帶你看3萬棟私人大廈的建築年份,Andy Lin,2016-07-25,Economics|HouseAge|HongKong,http://initiumlab.com/blog/20160725-hk-house-age/
射電望遠鏡你知多少,黃杜煜,2016-07-20,one-pic|infographics|science,http://initiumlab.com/blog/20160720-radio-telescope/
台灣房價分析：找出最近4年房價漲勢最兇的地方,Andy Lin,2016-07-18,Economics|HousePrice|Taiwan,http://initiumlab.com/blog/20160718-taiwan-house-price/
職業運動員究竟能賺多少錢？,Cheng Yixiang,2016-07-14,one-pic|sports|infographics,http://initiumlab.com/blog/20160714-top-player-salary/
世界主要貨幣十年走勢分析,Andy Lin,2016-07-08,R|Currency|Economics,http://initiumlab.com/blog/20160708-currency-exchange-rate-trend/
希拉里與特朗普的話語玄機,Cheng Yixiang,2016-07-04,TextMining|Politics|USA|R,http://initiumlab.com/blog/20160704-trump-hillary-language/
