Thor: Ragnarok,8.0
Wonder Woman,7.5
Guardians of the Galaxy Vol. 2,7.7
Logan,8.1
Despicable Me 3,6.3
Pirates of the Caribbean: Dead Men Tell No Tales,6.7
Justice League,6.8
Star Wars: Episode VIII - The Last Jedi,7.5
Kong: Skull Island,6.7
War for the Planet of the Apes,7.5
Ghost in the Shell,6.4
Spider-Man: Homecoming,7.5
The LEGO Batman Movie,7.3
Beauty and the Beast,7.3
Smurfs: The Lost Village,5.9
The Fate of the Furious,6.7
Fifty Shades Darker,4.6
Pitch Perfect 3,6.1
Transformers: The Last Knight,5.2
Power Rangers,6.0
The Mummy,5.5
Paddington 2,8.2
Alien: Covenant,6.5
Kingsman: The Golden Circle,6.9
The Emoji Movie,3.0
xXx: Return of Xander Cage,5.2
Jumanji: Welcome to the Jungle,7.2
Baywatch,5.6
It,7.5
Blade Runner 2049,8.2
John Wick: Chapter 2,7.5
Fist Fight,5.6
The Nut Job 2: Nutty by Nature,5.3
Coco,8.5
Annabelle: Creation,6.6
Rough Night,5.2
The Hitman's Bodyguard,6.9
Valerian and the City of a Thousand Planets,6.5
Jigsaw,5.9
The LEGO Ninjago Movie,6.0
Rings,4.5
Father Figures,4.9
The Space Between Us,6.4
Going in Style,6.6
Life,6.6
Surf's Up 2: WaveMania,4.7
The Discovery,6.3
Geostorm,5.4
The Circle,5.3
King Arthur: Legend of the Sword,6.8
Daddy's Home 2,6.0
A Bad Moms Christmas,5.5
Atomic Blonde,6.7
Dunkirk,8.0
Baby Driver,7.7
Girls Trip,6.3
The Dark Tower,5.7
Get Out,7.7
Snatched,4.4
The Boss Baby,6.3
9/11,4.0
The Snowman,5.1
CHIPS,6.0
Once Upon a Time in Venice,5.2
Molly's Game,7.5
Mother!,6.7
Shot Caller,7.4
Megan Leavey,7.1
Logan Lucky,7.1
Unlocked,6.2
All Eyez on Me,5.8
A Ghost Story,6.9
American Made,7.2
47 Meters Down,5.7
2:22,5.7
Good Time,7.3
Rememory,6.2
Ferdinand,6.7
Jungle,6.7
Ingrid Goes West,6.7
Wind River,7.8
Happy Death Day,6.5
Flatliners,5.2
The Disaster Artist,7.7
American Assassin,6.2
The Man Who Invented Christmas,7.1
The Foreigner,7.1
Bright,6.4
Bon Cop Bad Cop 2,6.7
The Mountain Between Us,6.4
Unforgettable,5.0
HHhH,6.4
"I, Tonya",7.6
Last Flag Flying,6.9
Marshall,7.2
All the Money in the World,7.1
The Vault,4.8
Bullet Head,5.2
Goodbye Christopher Robin,7.1
November Criminals,5.2
